filename	predicted	ground_truth
common_voice_en_41254430_resampled.wav	Other organizations used for gatitu always prepared in albanin	"Other organizations use ""pergatitu"", ""always prepared"" in albanian."
common_voice_en_41254431_resampled.wav	Lauria would die in the final issue of the series	Loria would die in the final issue of the series.
common_voice_en_41256752_resampled.wav	He halloo how are you doing to d	The film had its world premiere at the cannes film festival.
common_voice_en_41256754_resampled.wav	Et it it it's a good dee	All tram cars were separated into first class and second class.
common_voice_en_41256755_resampled.wav	Ye m i am doing well	Please leave them in the room
common_voice_en_41256756_resampled.wav	Hopthis would be agreeding	They consisted of both general plans and specific instructions for many towns.
common_voice_en_41256757_resampled.wav	Wonderful	Carlos' attempt to seize power resulted in the carlist wars.
common_voice_en_41259139_resampled.wav	It can take time to addrest	It can take time to adjust.
common_voice_en_41259140_resampled.wav	Vidout yor undivided adancham she ecully exploled	Without your undivided attention she could explode.
common_voice_en_41259141_resampled.wav	They will later return with alvin to take samples	"They would later return with ""alvin"" to take samples."
common_voice_en_41259142_resampled.wav	Here as the son of laurez alsan and his wife maransopi	He was the son of lauritz olsen and his wife maren sofie.
common_voice_en_41259143_resampled.wav	His record at this race earned him the poplar nickname king of the masen	"His record at this race earned him the popular nickname ""king of the mountain""."
common_voice_en_41259459_resampled.wav	Do rianne became a rule for which ste rester became well known	Dorian became a role for which strasser became well known.
common_voice_en_41259460_resampled.wav	He became no as rite diplomat would this religious liade apoticiani pakista	He became known as a writer, diplomat, buddhist religious leader and politician in pakistan.
common_voice_en_41259461_resampled.wav	It is said that this fheme ispecially argeted worthy young ados ortiers	It is said that this film is specifically targeted toward the young adult audience.
common_voice_en_41259462_resampled.wav	Tith old throug as sent thence to deats	All three were sentenced to death.
common_voice_en_41259463_resampled.wav	Miste mon depited examples	Mister moon depicted examples.
common_voice_en_41267071_resampled.wav	State is considered the beginning of thi sangun era	"This date is considered the beginning of the ""songun"" era."
common_voice_en_41267073_resampled.wav	He also described deliberate efforts to steady physical resistence by stabbing prisoners to death	He also described deliberate efforts to study physical resistance by starving prisoners to death.
common_voice_en_41267075_resampled.wav	Theethesa lornici beltway is located to the wist	The thessaloniki beltway is located to the west.
common_voice_en_41267078_resampled.wav	The main deity is refied by he name laks me narayen	The main deity is referred by the name laxmi narayan.
common_voice_en_41267143_resampled.wav	In greece pontic has no officious tictes	In greece, pontic has no official status.
common_voice_en_41267148_resampled.wav	He is buried in niang don sauth dacuta	He is buried in yankton, south dakota.
common_voice_en_41267150_resampled.wav	It fommons eqons reidated city curantry govern it with isconti contisit in playing kbag	It forms a consolidated city-county government with its county seat of lynchburg.
common_voice_en_41267151_resampled.wav	He was de fida of nane children	He was the father of nine children.
common_voice_en_41267153_resampled.wav	Qontestre language ise a clause demand at the following operations	Context-free languages are closed under the following operations.
common_voice_en_41269175_resampled.wav	The fedaway of fime e sipbikes commercial vegetable fime in palmer	The vanderweele farm is the biggest commercial vegetable farm in palmer.
common_voice_en_41269178_resampled.wav	Mass seta what wallid pulsive alter ego	Moores said that walt wallet was his alter ego.
common_voice_en_41269180_resampled.wav	He swove or the tiva fomla o janteen many as shaggy stevls te made	He drove for the tyrrell formula one team, mainly as jackie stewart's teammate.
common_voice_en_41269183_resampled.wav	The waponons secin fice took place immediately after	The walk for the second batch took place immediately after.
common_voice_en_41269185_resampled.wav	It was borcast life on televition a valuable a got much mader couverage	It was broadcast live on television and radio and got much media coverage.
common_voice_en_41269213_resampled.wav	Can setaduvenate	Consider doing it!
common_voice_en_41269214_resampled.wav	And six feet tall margrater was according to salviliousness impressive sight	At six feet tall, margherita was, according to some witnesses, an impressive sight.
common_voice_en_41269215_resampled.wav	Taberclay the woman involved a married and non working	Typically, the women involved are married and non-working.
common_voice_en_41269216_resampled.wav	The curty puty commissioner culprit services is dave hutchson	The current deputy commissioner, corporate services is dave hudson.
common_voice_en_41269217_resampled.wav	The modest sou was a brin child of the porgrap coud swallow's sandy beach	The morning zoo was the brainchild of then programme controller sandy beech.
common_voice_en_41269250_resampled.wav	Overland port falls within the bandaries of adases of castal city in castas	Overland park falls within the boundaries of the archdiocese of kansas city in kansas.
common_voice_en_41269252_resampled.wav	Hes father must have boys about the house and wone that tush bite em	His father would have boards around the house and would let tosh ride them.
common_voice_en_41269253_resampled.wav	The pensquir shap has ben awardid with a diplome found te gatonamy acho te demi	The pastry shop has been awarded with a diploma from the gastronomy academy.
common_voice_en_41269255_resampled.wav	Yes i pe im fitin songs for his bet mornid glory	Ezra spent time writing songs for his band morning glory.
common_voice_en_41269256_resampled.wav	Fusic temperatures can occer ather mise of the year	Freezing temperatures can occur any month of the year.
common_voice_en_41269289_resampled.wav	Time locklate tepa	"Type locality: ""nepal"""
common_voice_en_41269292_resampled.wav	Ther seat was gained poladibras by gordyhike	The seat was gained for the liberals by gordie hogg.
common_voice_en_41269295_resampled.wav	He said my laws uppoin me i guass e unbelieve a people	"He said, ""my lord support me against the unbeliever people"""
common_voice_en_41269299_resampled.wav	Be kerof the musiachuses salamay the restur of god	We killed the messiah, jesus, son of mary, the messenger of god.
common_voice_en_41269301_resampled.wav	Despite an attention she and seral seydol of the work together in the field	Despite early tension, she and sara sidle often work together in the field.
common_voice_en_41269331_resampled.wav	Ukan ladges had to still ticg up that headd in order to uncover the trees	Archaeologists have to still dig up the area in order to uncover the truth.
common_voice_en_41269334_resampled.wav	He is aspicious soul	He is suspicious soul.
common_voice_en_41269335_resampled.wav	Id i mean as i was a rette og because i've been i one month hadt an out at discovery	Aidaminas observation arc begins at vienna, one month after its official discovery.
common_voice_en_41269338_resampled.wav	And tertalism einfaction is suddenly associated with the qreese risk of serviters	M. genitalium infection is significantly associated with increased risk of cervicitis.
common_voice_en_41269340_resampled.wav	They te lost the second bound to floyda spate	They then lost in the second round to florida state.
common_voice_en_41269369_resampled.wav	He also taught himself that i could take langorage	He also taught himself the lakota language.
common_voice_en_41269370_resampled.wav	Loid	Lord!
common_voice_en_41269372_resampled.wav	That devel victave millions in the process	The duo became villains in the process.
common_voice_en_41269375_resampled.wav	Addition after long weef solier's father achievement and color hashed	Addition of the laurel wreaths signifies further achievement and qualification.
common_voice_en_41269376_resampled.wav	A mustley man can take a crustive woman as wife	A muslim man can take a christian woman as wife.
common_voice_en_41269425_resampled.wav	Just ar crossprid and tick iriginally open a secos door in rastal new york	The store prospered, and dick eventually opened a second store in vestal, new york.
common_voice_en_41269427_resampled.wav	Wer ca shot that dull fowler and capi also putte spulsvarity	Records show that john fowler and company also produced both varieties.
common_voice_en_41269428_resampled.wav	That is the well affairs of worgles torn the latter hypoletise is lively as necessary	That is the relevance of fuglede's theorem: the latter hypothesis is not really necessary.
common_voice_en_41269429_resampled.wav	That in it is easily collected to a skain using two or more light roads	The unit is usually connected to the skin using two or more electrodes.
common_voice_en_41269430_resampled.wav	The plasa removed the best end in the hand	The blinds then remove their bets, ending the hand.
common_voice_en_41269471_resampled.wav	It is illegal in some contrats	It is illegal in some countries.
common_voice_en_41269474_resampled.wav	Here sa gave gyan ane jasca's watchful eye	He is a gate guardian, under jester's watchful eye.
common_voice_en_41269477_resampled.wav	There's less i gentle and i two wages mighty on might leti work	The slopes are gentle and the terrain is mildly or moderately rugged.
common_voice_en_41269479_resampled.wav	By jan her was at at the italian hrank	By june, he was at the italian front.
common_voice_en_41269482_resampled.wav	I tie miss carlers thogt before you came	I told mrs. collins so before you came.
common_voice_en_41269508_resampled.wav	I have carried a library to day	میں آج لائبریری جا رہا ہوں۔
common_voice_en_41269509_resampled.wav	For justtein the wid tiels it dby dell was ahead a plaky witch	From castleton the route leads to danby dale, rosedale head and blakey ridge.
common_voice_en_41269511_resampled.wav	Tebeclay der sister abital	"Typically, this is the ""abitur""."
common_voice_en_41269514_resampled.wav	Althoug ander capet with bersent parosen is fama beactive	Although often compared with benzene, borazine is far more reactive.
common_voice_en_41269515_resampled.wav	My taday suck crisps head	Mind charity shop christchurch.
common_voice_en_41269534_resampled.wav	Tarcus are employed but stiffer resoncs	Tokens are employed for several reasons.
common_voice_en_41269535_resampled.wav	The griep lettle premasis without further instint	The group left the premises without further incident.
common_voice_en_41269536_resampled.wav	Chartapra is a pot of such a matia tuched plateau and bate plateau	Shajapur is a part of central madhya pradesh plateau and ratlam plateau.
common_voice_en_41269537_resampled.wav	Is fair hav my tur to give the proper gematic efto	It's very hard material to give the proper dramatic curve to.
common_voice_en_41269538_resampled.wav	Sir bretonnabray was one of his efcuters	Sir reginald bray was one of his executors.
common_voice_en_41269544_resampled.wav	Thesles lews of orthers have afree hand in the salad politys ar methods	This leads to subordinates having a free hand in deciding policies and methods.
common_voice_en_41269545_resampled.wav	Alape colarcatious system putcatter a biweige catagoy	Olympic qualification system per continent and by weight category.
common_voice_en_41269546_resampled.wav	In your sota hump in social ocuisation coolly as one make sotel so ociety	"In the ""social organization"" cooley asks what makes up a society."
common_voice_en_41269547_resampled.wav	Hi i was sading	Hi i am shaidene
common_voice_en_41269548_resampled.wav	Sopatience lat louise waite	Some patients may lose weight.
common_voice_en_41269626_resampled.wav	Esonte kit's home was norvy shriek	Please send the kids home with one each week.
common_voice_en_41273239_resampled.wav	Woodford is located in the soutern bellington county directly east of the town of bellington	Woodford is located in southern bennington county directly east of the town of bennington.
common_voice_en_41273598_resampled.wav	Why did my parent not invite me to their wedding	Why did my parent not invite me to their wedding?
common_voice_en_41273599_resampled.wav	The mention takes of the border remain in fair ground bites	The mentioned takes of the border remain in fairground fights.
common_voice_en_41273601_resampled.wav	This colorless solad is used in organic chemistry as a hydro boratian reagent	This colourless solid is used in organic chemistry as a hydroboration reagent.
common_voice_en_41273604_resampled.wav	Johnson was born in gilfoyd county north carolina	Johnson was born in guilford county, north carolina.
common_voice_en_41273605_resampled.wav	These industries do have limited employment	These industries do have limited employment.
common_voice_en_41273651_resampled.wav	The station heirs locally produced news talk and music prograntly	The station airs locally produced news, talk, and music programming.
common_voice_en_41273652_resampled.wav	As well she sometimes helps with jesse to take care of betty	As well she sometimes helps with jessie to take care of benny.
common_voice_en_41273653_resampled.wav	Tate resides in both australia and los angeles	Tate resides in both australia and los angeles.
common_voice_en_41273654_resampled.wav	The court has twelve authorized juddships	The court has twelve authorized judgeships.
common_voice_en_41273675_resampled.wav	Don't dwell on the acting	Don't dwell on the acting.
common_voice_en_41273676_resampled.wav	The rank is equivalent to major in armies and air forces	The rank is equivalent to major in armies and air forces.
common_voice_en_41273677_resampled.wav	Of the seven arrested that day four were released for lack of evidence	Of the seven arrested that day, four were released for lack of evidence.
common_voice_en_41273678_resampled.wav	The well remains usable to this day	The well remains usable to this day.
common_voice_en_41273679_resampled.wav	The family soon moved to lost angels for stephani grew up	The family soon moved to los angeles, where stephanie grew up.
common_voice_en_41273725_resampled.wav	It is in the western development region of napall	It is in the western development region of nepal.
common_voice_en_41273726_resampled.wav	The result was smaller and considerably simpler a single engine driving a single propeller	The result was smaller and considerably simpler: a single engine driving a single propeller.
common_voice_en_41273728_resampled.wav	The elemental composition of detected compounds is deduced using accurate mass of the ions	Then elemental composition of detected compounds is deduced using accurate mass of the ions.
common_voice_en_41273730_resampled.wav	He split time for two seasons between the saint katharine's and the maplolise	He split time for two seasons between saint catharines and the maple leafs.
common_voice_en_41273731_resampled.wav	There was almost nothing that i didn't try to use	There was almost nothing that i didn't try to use.
common_voice_en_41273801_resampled.wav	This made it an important transportation root since that time	This made it an important transportation route since that time.
common_voice_en_41273803_resampled.wav	Dutch academic titles are legally protected	Dutch academic titles are legally protected.
common_voice_en_41273804_resampled.wav	Music's very chea chea	Music theory cheat sheet.
common_voice_en_41273806_resampled.wav	Blum was born in cincenati ohio	Blum was born in cincinnati, ohio.
common_voice_en_41278458_resampled.wav	Alone alove no alon no	Sleeve insignia was changed to look more like the insignia of the royal navy.
common_voice_en_41278459_resampled.wav	That sor name te bsinsan jol asis eis satisfied wit a moneble rat s	Gattuso named luigi riccio as his assistant, with whom he worked at sion.
common_voice_en_41278460_resampled.wav	Arromed foloding an brisin logish le et ter fors ancomers log sir	Founding members included william wilberforce and thomas clarkson.
common_voice_en_41278461_resampled.wav	Prorringtine oll isal dum is rad rigdul idn teched one lip	The correct and original term is proprietorial interest only.
common_voice_en_41278462_resampled.wav	The luchiers was born in paris	Luchaire was born in paris.
common_voice_en_41278585_resampled.wav	There's culling wom up the guardinels	The school is the home of the cardinals.
common_voice_en_41281272_resampled.wav	His wimmay silent tead and as semetary an the eric wheeles in brocklayn	His remains are interred in the cemetery of the evergreens in brooklyn.
common_voice_en_41281273_resampled.wav	Feller nort cavolana cack westmanteqa put fercotebi mik devascre ignoyed and ifvessive	Fellow north carolina congressman g. k. butterfield called the remark devastatingly ignorant and divisive.
common_voice_en_41281274_resampled.wav	Yellow flours you see formin spring and summer	Yellow flowers usually form in spring and summer.
common_voice_en_41281275_resampled.wav	It was the largest ice service in a altor harcileague	It was the largest ice surface in the ontario hockey league.
common_voice_en_41281276_resampled.wav	They ae trived in these mals of these paths	We are trapped in this maze of this past.
common_voice_en_41281277_resampled.wav	Sinster pargram's launce wall cafe ashausted by david dye	"Since the program's launch, ""world cafe"" was hosted by david dye."
common_voice_en_41281278_resampled.wav	The american fieled science wita hewama j was in the figt hiat when the first wacked up	The american food science writer harold mcgee, was invited for the first workshop.
common_voice_en_41281279_resampled.wav	The hero child as it is unrevolse	The hierro giant lizard is omnivorous.
common_voice_en_41281280_resampled.wav	All of the in congress were we destricted	All of the incumbents were redistricted.
common_voice_en_41281281_resampled.wav	With ehositation i turned and opened the panels	With this intention, i turned and opened the panels.
common_voice_en_41281282_resampled.wav	In many of the tourist i would telling the balis as pitrites wet many are farm wastan contrats	Many of the tourists are returning lebanese expatriates, but many are from western countries.
common_voice_en_41281283_resampled.wav	The ensebin firefied lasted into the afternoon	The ensuing firefight lasted into the afternoon.
common_voice_en_41281284_resampled.wav	With respect caral is only a song	With respect, quran is only a song.
common_voice_en_41281285_resampled.wav	He was killed it acthaly rial and must griev first aid to a inch ad combat	He was killed in action while administering first aid to an injured comrade.
common_voice_en_41281286_resampled.wav	Then forimpulse will lise as aunt julia and a scripped whiter in mericontrase	"The film was released as ""aunt julia and the scriptwriter"" in many countries."
common_voice_en_41281287_resampled.wav	The elter hariton later but cam a remember of the honaluleu portis department	The elder harrington later became a member of the honolulu police department.
common_voice_en_41281288_resampled.wav	It as rat a motaneous wicky with eh regins an something as sential evob	It is found in mountainous regions of southern and central europe.
common_voice_en_41281289_resampled.wav	Ansumlithy cheques was set with differences between the affected leg and the other leg	Examination checks for sensory differences between the affected leg and the other leg.
common_voice_en_41281290_resampled.wav	It was fonly colr flobbers eyedead	It was formerly called plumbous iodide.
common_voice_en_41281291_resampled.wav	He led a position to be contopetive voyt teconstructor of out patient services	He left that position to become the betty ford center's director of outpatient services.
common_voice_en_41281292_resampled.wav	They escaped in floristeton frederick to believe in the autonomy of astasasism	This group's influence led friedeberg to believe in the autonomy of aestheticism.
common_voice_en_41281294_resampled.wav	Marslins believe quarrel is the direct works of god	Muslims believe quran is the the direct words of god.
common_voice_en_41281295_resampled.wav	He did not appeal the ban	He did not appeal the ban.
common_voice_en_41281296_resampled.wav	A murde man can take a wife from the people of scripture	A muslim man can take a wife from the people of scripture.
common_voice_en_41281302_resampled.wav	The ceremony has i fall of the years gerany grown more complex	The ceremony has evolved over the years, generally growing more complex.
common_voice_en_41281303_resampled.wav	Never play higher quality burio	Never play higher-quality video.
common_voice_en_41281304_resampled.wav	He tade lade harkescool with passionvalvidete fellowed father	He attended lady hawkins' school, where his passion for riding developed further.
common_voice_en_41281305_resampled.wav	Seventen five six seven	Seventy five six seven
common_voice_en_41281306_resampled.wav	And e erg head i peared as a member of the nuidon avages	A new egghead appears as a member of the new young avengers.
common_voice_en_41281312_resampled.wav	Thes was a chief wiso wy the holor hord acquired a took it identy	This was the chief reason why the golden horde acquired a turkic identity.
common_voice_en_41281313_resampled.wav	A back harch i can grat  as akethid at the foot of the mountain near hidden lake	A backcountry campground is located at the foot of the mountain, near hidden lake.
common_voice_en_41281314_resampled.wav	There sides just my fest best thougt on this popeck	These are just my first thoughts on this topic
common_voice_en_41281315_resampled.wav	That father poffet ar cut back stones	The font and pulpit are carved bath stone.
common_voice_en_41281316_resampled.wav	He gratulated fonder to the first pier of calcotar	He graduated from the university of calcutta.
common_voice_en_41281317_resampled.wav	But has tevos thats had never joredto him together	But it's two words that you're never going to hear together.
common_voice_en_41281318_resampled.wav	Like a pritest a articularly used in a plasrin	The computers are frequently used in the classroom.
common_voice_en_41281319_resampled.wav	He gratulated on raste hive gold in sam's town north cavalina	He graduated from ragsdale high school in jamestown, north carolina.
common_voice_en_41281320_resampled.wav	The sucha ended with watas passes ahead of hermeted and postapen	The session ended with bottas fastest ahead of hamilton and verstappen.
common_voice_en_41281321_resampled.wav	The yellock fet is now as faint	The yellowfin is now extinct.
common_voice_en_41281322_resampled.wav	Harat ancious i witd tireass  fat him to step last as he said	However, injuries and retirements threatened to destabilise the season.
common_voice_en_41281323_resampled.wav	The better risial abobena wol actine mayor should the fntage of fusses	Don benito recio and moreno were the acting mayor during the foundation process.
common_voice_en_41281324_resampled.wav	The tigers holified it to the sitless ball but at last ith not fashed in	The tigers were invited to the citrus bowl where they lost to northwestern.
common_voice_en_41281325_resampled.wav	Your sircos carbid measure by sextent	The circles can be measured by sextant.
common_voice_en_41281326_resampled.wav	At e paver harnin university	Art department hamline university.
common_voice_en_41281327_resampled.wav	Victorious party firsted a pair of musiums and a pac fine well	Victoria's party visited a pair of museums and a petrifying well.
common_voice_en_41281328_resampled.wav	Awing to e landscape is possible in a distance	A wintry landscape is visible in the distance.
common_voice_en_41281329_resampled.wav	To day the assulsation in many names tipeta couning colter	Today, the association mainly aims to maintain karelian culture.
common_voice_en_41281330_resampled.wav	He also a d announced the establishment of the commission	He also announced the establishment of the commission.
common_voice_en_41281331_resampled.wav	Consequently port cruger was not axacted as a sedozen and thus allowed fo npotar inte calls	Consequently, paul kruger was not accepted as a citizen and disallowed from political intercourse.
common_voice_en_41281332_resampled.wav	Writ has performance wis sit acuivami anomination for best creamer r an v frocal performance	Rushen's performance received a grammy nomination for best female r and b vocal performance.
common_voice_en_41281333_resampled.wav	Cimmenative polalies	Give me a native born at least.
common_voice_en_41281334_resampled.wav	Her grandfather was a paulaug	Her grandfather was apollo.
common_voice_en_41281335_resampled.wav	Sulcolcoryo borter whychaster fell early but he was nabored to educe and slive portence	Some goguryeo border fortresses fell early, but tang was unable to reduce ansi fortress.
common_voice_en_41281336_resampled.wav	Tuscos calhoun to believe that jackson had approved the publication of the letters	This caused calhoun to believe that jackson had approved the publication of the letters.
common_voice_en_41281337_resampled.wav	Latter aljust afterward hanged at apility	Latin origins of the word hint at ability.
common_voice_en_41281338_resampled.wav	The work recoated as sives ananysed weconnarlises photographs and perform in telliges operations	They worked with codes and ciphers, analysed reconnaissance photographs, and performed intelligence operations.
common_voice_en_41281339_resampled.wav	He is still spar fearless can repetation as big tan killers	"His teams were fearless, gaining a reputation as ""big ten killers""."
common_voice_en_41281340_resampled.wav	Now topy vives pritens	No copyright restrictions.
common_voice_en_41281346_resampled.wav	He is also solutary to discover this ti side to make dessent from daubless own petition	He is also a signatory to the discovery institute's scientific dissent from darwinism petition.
common_voice_en_41281347_resampled.wav	Their statement seem to be our description of an actual custom	The statement seems to be a description of an actual custom.
common_voice_en_41281348_resampled.wav	Lord elmer had no previous experience as ceviladministrator and no political experience	Lord aylmer had no previous experience as a civil administrator and no political experience.
common_voice_en_41281349_resampled.wav	The king's men then desmartate clet the gold	The king's men then dismounted to collect the gold.
common_voice_en_41281350_resampled.wav	How can this fit the goodness connected with the design of the providence	How can this fit with the goodness connected with the design of providence?
common_voice_en_41281351_resampled.wav	The upright assistance that atat can furled oud with a sad imolation	The operating systems the engines can run on without emulation.
common_voice_en_41281352_resampled.wav	About three quarters of the municipality land is used for agriculture and live stock	About three-quarters of the municipality's land is used for agriculture and livestock.
common_voice_en_41281353_resampled.wav	Epastekratodgasuesk i call emnostat ar heten	Efforts to control this risk are called immunization or hedging.
common_voice_en_41281354_resampled.wav	Particularly contravociel was the dismissal of long time medde hors marden brandic	Particularly controversial was the dismissal of long-time mid-day host martin bandyke.
common_voice_en_41281355_resampled.wav	The next morning the german forces along with day aster hage allais asked for terms	The next morning, the german forces, along with their austro-hungarian allies, asked for terms.
common_voice_en_41281372_resampled.wav	Everybody said oh in horrified delight	Everybody said “oh” in horrified delight.
common_voice_en_41281373_resampled.wav	The nerest hospital fairview hospital is located in neighboring great bridam	The nearest hospital, fairview hospital, is located in neighboring great barrington.
common_voice_en_41282616_resampled.wav	The prewar police service was low in repression proarty and was professional	The prewar police service was low in repression priority and was professional.
common_voice_en_41282617_resampled.wav	Exmouth warned that if these terms were not accepted he would continue the action	Exmouth warned that if these terms were not accepted, he would continue the action.
common_voice_en_41282618_resampled.wav	The opening numbers named after judas pri scatarus glen tipton	The opening number is named after judas priest guitarist, glenn tipton.
common_voice_en_41282620_resampled.wav	Hedid his national service with the grenedia guards intropole	He did his national service with the grenadier guards in tripoli.
common_voice_en_41282621_resampled.wav	Regularly miring the mated ated to and sure that the schemer remains relevant is advised	Regularly monitoring the metadata to ensure that the schema remains relevant is advised.
common_voice_en_41282634_resampled.wav	The formation is often called the missing man flyby or flypast	"The formation is often called the ""missing man flyby"" or ""flypast""."
common_voice_en_41282635_resampled.wav	The result of battle was a decisive muslin victory	The result of the battle was a decisive muslim victory.
common_voice_en_41282636_resampled.wav	The following sixth species are recognized as being valid	The following six species are recognized as being valid.
common_voice_en_41282637_resampled.wav	Furnishings include the famous wishing chair	Furnishings include the famous wishing chair.
common_voice_en_41282638_resampled.wav	The film has been well received by modern critics	The film has been well received by modern critics.
common_voice_en_41282644_resampled.wav	Strange ways is one of the few prisons to have permanent gallows	Strangeways was one of the few prisons to have permanent gallows.
common_voice_en_41282645_resampled.wav	This includes post phemous payments to families of farrodo factory workers	This includes posthumous payments to families of ferodo factory workers.
common_voice_en_41282646_resampled.wav	The group also played auchalian rules football kicking a round rolled of cardboard in newspaper	The group also played australian rules football, kicking around rolled up cardboard and newspaper.
