filename	transcription
common_voice_en_41269546_resampled.wav	IN YOUR SOTA HUMP IN SOCIAL OCUISATION COOLLY AS ONE MAKE SOTEL SO OCIETY
common_voice_en_41269547_resampled.wav	HI I WAS SADING
common_voice_en_41269548_resampled.wav	SOPATIENCE LAT LOUISE WAITE
common_voice_en_41269626_resampled.wav	ESONTE KIT'S HOME WAS NORVY SHRIEK
common_voice_en_41273239_resampled.wav	WOODFORD IS LOCATED IN THE SOUTERN BELLINGTON COUNTY DIRECTLY EAST OF THE TOWN OF BELLINGTON
common_voice_en_41273598_resampled.wav	WHY DID MY PARENT NOT INVITE ME TO THEIR WEDDING
common_voice_en_41273599_resampled.wav	THE MENTION TAKES OF THE BORDER REMAIN IN FAIR GROUND BITES
common_voice_en_41273601_resampled.wav	THIS COLORLESS SOLAD IS USED IN ORGANIC CHEMISTRY AS A HYDRO BORATIAN REAGENT
common_voice_en_41273604_resampled.wav	JOHNSON WAS BORN IN GILFOYD COUNTY NORTH CAROLINA
common_voice_en_41273605_resampled.wav	THESE INDUSTRIES DO HAVE LIMITED EMPLOYMENT
common_voice_en_41273651_resampled.wav	THE STATION HEIRS LOCALLY PRODUCED NEWS TALK AND MUSIC PROGRANTLY
common_voice_en_41273652_resampled.wav	AS WELL SHE SOMETIMES HELPS WITH JESSE TO TAKE CARE OF BETTY
common_voice_en_41273653_resampled.wav	TATE RESIDES IN BOTH AUSTRALIA AND LOS ANGELES
common_voice_en_41273654_resampled.wav	THE COURT HAS TWELVE AUTHORIZED JUDDSHIPS
common_voice_en_41273675_resampled.wav	DON'T DWELL ON THE ACTING
common_voice_en_41273676_resampled.wav	THE RANK IS EQUIVALENT TO MAJOR IN ARMIES AND AIR FORCES
common_voice_en_41273677_resampled.wav	OF THE SEVEN ARRESTED THAT DAY FOUR WERE RELEASED FOR LACK OF EVIDENCE
common_voice_en_41273678_resampled.wav	THE WELL REMAINS USABLE TO THIS DAY
common_voice_en_41273679_resampled.wav	THE FAMILY SOON MOVED TO LOST ANGELS FOR STEPHANI GREW UP
common_voice_en_41273725_resampled.wav	IT IS IN THE WESTERN DEVELOPMENT REGION OF NAPALL
common_voice_en_41273726_resampled.wav	THE RESULT WAS SMALLER AND CONSIDERABLY SIMPLER A SINGLE ENGINE DRIVING A SINGLE PROPELLER
common_voice_en_41273728_resampled.wav	THE ELEMENTAL COMPOSITION OF DETECTED COMPOUNDS IS DEDUCED USING ACCURATE MASS OF THE IONS
common_voice_en_41273730_resampled.wav	HE SPLIT TIME FOR TWO SEASONS BETWEEN THE SAINT KATHARINE'S AND THE MAPLOLISE
common_voice_en_41273731_resampled.wav	THERE WAS ALMOST NOTHING THAT I DIDN'T TRY TO USE
common_voice_en_41273801_resampled.wav	THIS MADE IT AN IMPORTANT TRANSPORTATION ROOT SINCE THAT TIME
common_voice_en_41273803_resampled.wav	DUTCH ACADEMIC TITLES ARE LEGALLY PROTECTED
common_voice_en_41273804_resampled.wav	MUSIC'S VERY CHEA CHEA
common_voice_en_41273806_resampled.wav	BLUM WAS BORN IN CINCENATI OHIO
common_voice_en_41278458_resampled.wav	ALONE ALOVE NO ALON NO
common_voice_en_41278459_resampled.wav	THAT SOR NAME TE BSINSAN JOL ASIS EIS SATISFIED WIT A MONEBLE RAT S
common_voice_en_41278460_resampled.wav	ARROMED FOLODING AN BRISIN LOGISH LE ET TER FORS ANCOMERS LOG SIR
common_voice_en_41278461_resampled.wav	PRORRINGTINE OLL ISAL DUM IS RAD RIGDUL IDN TECHED ONE LIP
common_voice_en_41278462_resampled.wav	THE LUCHIERS WAS BORN IN PARIS
common_voice_en_41278585_resampled.wav	THERE'S CULLING WOM UP THE GUARDINELS
common_voice_en_41281272_resampled.wav	HIS WIMMAY SILENT TEAD AND AS SEMETARY AN THE ERIC WHEELES IN BROCKLAYN
common_voice_en_41281273_resampled.wav	FELLER NORT CAVOLANA CACK WESTMANTEQA PUT FERCOTEBI MIK DEVASCRE IGNOYED AND IFVESSIVE
common_voice_en_41281274_resampled.wav	YELLOW FLOURS YOU SEE FORMIN SPRING AND SUMMER
common_voice_en_41281275_resampled.wav	IT WAS THE LARGEST ICE SERVICE IN A ALTOR HARCILEAGUE
common_voice_en_41281276_resampled.wav	THEY AE TRIVED IN THESE MALS OF THESE PATHS
common_voice_en_41281277_resampled.wav	SINSTER PARGRAM'S LAUNCE WALL CAFE ASHAUSTED BY DAVID DYE
common_voice_en_41281278_resampled.wav	THE AMERICAN FIELED SCIENCE WITA HEWAMA J WAS IN THE FIGT HIAT WHEN THE FIRST WACKED UP
common_voice_en_41281279_resampled.wav	THE HERO CHILD AS IT IS UNREVOLSE
common_voice_en_41281280_resampled.wav	ALL OF THE IN CONGRESS WERE WE DESTRICTED
common_voice_en_41281281_resampled.wav	WITH EHOSITATION I TURNED AND OPENED THE PANELS
common_voice_en_41281282_resampled.wav	IN MANY OF THE TOURIST I WOULD TELLING THE BALIS AS PITRITES WET MANY ARE FARM WASTAN CONTRATS
common_voice_en_41281283_resampled.wav	THE ENSEBIN FIREFIED LASTED INTO THE AFTERNOON
common_voice_en_41281284_resampled.wav	WITH RESPECT CARAL IS ONLY A SONG
common_voice_en_41281285_resampled.wav	HE WAS KILLED IT ACTHALY RIAL AND MUST GRIEV FIRST AID TO A INCH AD COMBAT
common_voice_en_41281286_resampled.wav	THEN FORIMPULSE WILL LISE AS AUNT JULIA AND A SCRIPPED WHITER IN MERICONTRASE
common_voice_en_41281287_resampled.wav	THE ELTER HARITON LATER BUT CAM A REMEMBER OF THE HONALULEU PORTIS DEPARTMENT
common_voice_en_41281288_resampled.wav	IT AS RAT A MOTANEOUS WICKY WITH EH REGINS AN SOMETHING AS SENTIAL EVOB
common_voice_en_41281289_resampled.wav	ANSUMLITHY CHEQUES WAS SET WITH DIFFERENCES BETWEEN THE AFFECTED LEG AND THE OTHER LEG
common_voice_en_41281290_resampled.wav	IT WAS FONLY COLR FLOBBERS EYEDEAD
common_voice_en_41281291_resampled.wav	HE LED A POSITION TO BE CONTOPETIVE VOYT TECONSTRUCTOR OF OUT PATIENT SERVICES
common_voice_en_41281292_resampled.wav	THEY ESCAPED IN FLORISTETON FREDERICK TO BELIEVE IN THE AUTONOMY OF ASTASASISM
common_voice_en_41281293_resampled.wav	HE ALSO CONTRIBUTED TO THE THE HEBREW AND HEDIS PAPERS OF HIS TIME
common_voice_en_41281294_resampled.wav	MARSLINS BELIEVE QUARREL IS THE DIRECT WORKS OF GOD
common_voice_en_41281295_resampled.wav	HE DID NOT APPEAL THE BAN
common_voice_en_41281296_resampled.wav	A MURDE MAN CAN TAKE A WIFE FROM THE PEOPLE OF SCRIPTURE
common_voice_en_41281302_resampled.wav	THE CEREMONY HAS I FALL OF THE YEARS GERANY GROWN MORE COMPLEX
common_voice_en_41281303_resampled.wav	NEVER PLAY HIGHER QUALITY BURIO
common_voice_en_41281304_resampled.wav	HE TADE LADE HARKESCOOL WITH PASSIONVALVIDETE FELLOWED FATHER
common_voice_en_41281305_resampled.wav	SEVENTEN FIVE SIX SEVEN
common_voice_en_41281306_resampled.wav	AND E ERG HEAD I PEARED AS A MEMBER OF THE NUIDON AVAGES
common_voice_en_41281312_resampled.wav	THES WAS A CHIEF WISO WY THE HOLOR HORD ACQUIRED A TOOK IT IDENTY
common_voice_en_41281313_resampled.wav	A BACK HARCH I CAN GRAT  AS AKETHID AT THE FOOT OF THE MOUNTAIN NEAR HIDDEN LAKE
common_voice_en_41281314_resampled.wav	THERE SIDES JUST MY FEST BEST THOUGT ON THIS POPECK
common_voice_en_41281315_resampled.wav	THAT FATHER POFFET AR CUT BACK STONES
common_voice_en_41281316_resampled.wav	HE GRATULATED FONDER TO THE FIRST PIER OF CALCOTAR
common_voice_en_41281317_resampled.wav	BUT HAS TEVOS THATS HAD NEVER JOREDTO HIM TOGETHER
common_voice_en_41281318_resampled.wav	LIKE A PRITEST A ARTICULARLY USED IN A PLASRIN
common_voice_en_41281319_resampled.wav	HE GRATULATED ON RASTE HIVE GOLD IN SAM'S TOWN NORTH CAVALINA
common_voice_en_41281320_resampled.wav	THE SUCHA ENDED WITH WATAS PASSES AHEAD OF HERMETED AND POSTAPEN
common_voice_en_41281321_resampled.wav	THE YELLOCK FET IS NOW AS FAINT
common_voice_en_41281322_resampled.wav	HARAT ANCIOUS I WITD TIREASS  FAT HIM TO STEP LAST AS HE SAID
common_voice_en_41281323_resampled.wav	THE BETTER RISIAL ABOBENA WOL ACTINE MAYOR SHOULD THE FNTAGE OF FUSSES
common_voice_en_41281324_resampled.wav	THE TIGERS HOLIFIED IT TO THE SITLESS BALL BUT AT LAST ITH NOT FASHED IN
common_voice_en_41281325_resampled.wav	YOUR SIRCOS CARBID MEASURE BY SEXTENT
common_voice_en_41281326_resampled.wav	AT E PAVER HARNIN UNIVERSITY
common_voice_en_41281327_resampled.wav	VICTORIOUS PARTY FIRSTED A PAIR OF MUSIUMS AND A PAC FINE WELL
common_voice_en_41281328_resampled.wav	AWING TO E LANDSCAPE IS POSSIBLE IN A DISTANCE
common_voice_en_41281329_resampled.wav	TO DAY THE ASSULSATION IN MANY NAMES TIPETA COUNING COLTER
common_voice_en_41281330_resampled.wav	HE ALSO A D ANNOUNCED THE ESTABLISHMENT OF THE COMMISSION
common_voice_en_41281331_resampled.wav	CONSEQUENTLY PORT CRUGER WAS NOT AXACTED AS A SEDOZEN AND THUS ALLOWED FO NPOTAR INTE CALLS
common_voice_en_41281332_resampled.wav	WRIT HAS PERFORMANCE WIS SIT ACUIVAMI ANOMINATION FOR BEST CREAMER R AN V FROCAL PERFORMANCE
common_voice_en_41281333_resampled.wav	CIMMENATIVE POLALIES
common_voice_en_41281334_resampled.wav	HER GRANDFATHER WAS A PAULAUG
common_voice_en_41281335_resampled.wav	SULCOLCORYO BORTER WHYCHASTER FELL EARLY BUT HE WAS NABORED TO EDUCE AND SLIVE PORTENCE
common_voice_en_41281336_resampled.wav	TUSCOS CALHOUN TO BELIEVE THAT JACKSON HAD APPROVED THE PUBLICATION OF THE LETTERS
common_voice_en_41281337_resampled.wav	LATTER ALJUST AFTERWARD HANGED AT APILITY
common_voice_en_41281338_resampled.wav	THE WORK RECOATED AS SIVES ANANYSED WECONNARLISES PHOTOGRAPHS AND PERFORM IN TELLIGES OPERATIONS
common_voice_en_41281339_resampled.wav	HE IS STILL SPAR FEARLESS CAN REPETATION AS BIG TAN KILLERS
common_voice_en_41281340_resampled.wav	NOW TOPY VIVES PRITENS
common_voice_en_41281346_resampled.wav	HE IS ALSO SOLUTARY TO DISCOVER THIS TI SIDE TO MAKE DESSENT FROM DAUBLESS OWN PETITION
common_voice_en_41281347_resampled.wav	THEIR STATEMENT SEEM TO BE OUR DESCRIPTION OF AN ACTUAL CUSTOM
common_voice_en_41281348_resampled.wav	LORD ELMER HAD NO PREVIOUS EXPERIENCE AS CEVILADMINISTRATOR AND NO POLITICAL EXPERIENCE
common_voice_en_41281349_resampled.wav	THE KING'S MEN THEN DESMARTATE CLET THE GOLD
common_voice_en_41281350_resampled.wav	HOW CAN THIS FIT THE GOODNESS CONNECTED WITH THE DESIGN OF THE PROVIDENCE
common_voice_en_41281351_resampled.wav	THE UPRIGHT ASSISTANCE THAT ATAT CAN FURLED OUD WITH A SAD IMOLATION
common_voice_en_41281352_resampled.wav	ABOUT THREE QUARTERS OF THE MUNICIPALITY LAND IS USED FOR AGRICULTURE AND LIVE STOCK
common_voice_en_41281353_resampled.wav	EPASTEKRATODGASUESK I CALL EMNOSTAT AR HETEN
common_voice_en_41281354_resampled.wav	PARTICULARLY CONTRAVOCIEL WAS THE DISMISSAL OF LONG TIME MEDDE HORS MARDEN BRANDIC
common_voice_en_41281355_resampled.wav	THE NEXT MORNING THE GERMAN FORCES ALONG WITH DAY ASTER HAGE ALLAIS ASKED FOR TERMS
common_voice_en_41281372_resampled.wav	EVERYBODY SAID OH IN HORRIFIED DELIGHT
common_voice_en_41281373_resampled.wav	THE NEREST HOSPITAL FAIRVIEW HOSPITAL IS LOCATED IN NEIGHBORING GREAT BRIDAM
common_voice_en_41282616_resampled.wav	THE PREWAR POLICE SERVICE WAS LOW IN REPRESSION PROARTY AND WAS PROFESSIONAL
common_voice_en_41282617_resampled.wav	EXMOUTH WARNED THAT IF THESE TERMS WERE NOT ACCEPTED HE WOULD CONTINUE THE ACTION
common_voice_en_41282618_resampled.wav	THE OPENING NUMBERS NAMED AFTER JUDAS PRI SCATARUS GLEN TIPTON
common_voice_en_41282620_resampled.wav	HEDID HIS NATIONAL SERVICE WITH THE GRENEDIA GUARDS INTROPOLE
common_voice_en_41282621_resampled.wav	REGULARLY MIRING THE MATED ATED TO AND SURE THAT THE SCHEMER REMAINS RELEVANT IS ADVISED
common_voice_en_41282634_resampled.wav	THE FORMATION IS OFTEN CALLED THE MISSING MAN FLYBY OR FLYPAST
common_voice_en_41282635_resampled.wav	THE RESULT OF BATTLE WAS A DECISIVE MUSLIN VICTORY
common_voice_en_41282636_resampled.wav	THE FOLLOWING SIXTH SPECIES ARE RECOGNIZED AS BEING VALID
common_voice_en_41282637_resampled.wav	FURNISHINGS INCLUDE THE FAMOUS WISHING CHAIR
common_voice_en_41282638_resampled.wav	THE FILM HAS BEEN WELL RECEIVED BY MODERN CRITICS
common_voice_en_41282644_resampled.wav	STRANGE WAYS IS ONE OF THE FEW PRISONS TO HAVE PERMANENT GALLOWS
common_voice_en_41282645_resampled.wav	THIS INCLUDES POST PHEMOUS PAYMENTS TO FAMILIES OF FARRODO FACTORY WORKERS
